parent_fish_name,plasmid_base_code,allele,injected_rna,injected_plasmid
tandem mem:mStayGold; tdmChilada:Histone,pDQM005,301,pDQM104,
tandem mem:mStayGold; tdmChilada(MAGPV):Histone,pDQM005,301,pDQM104,
mem-mito,pDQM082,315,MGCO-01,
mem-histone,"pDQM005,pDQM133","302,324",,
skittlez,pDQM034,309,,
skittles,pDQM034,309,,
mitomSG,pDQM005,301,MGCO-01,
er-mSG_mem-mChilada,pDQM082,315,"MGCO-04,MGCO-01",
mem-mchilada_er-mSG,pDQM082,315,"MGCO-01,MGCO-04",
mem_tester,pDQM082,315,MGCO-01,
mrna_mSG_organelle_LLS-SIM/er_roi1,csp,,"MGCO-04,MGCO-01",
peroxi,pDQM136,325,MGCO-49,
mem-kinetocore,pDQM082,315,MGCO-57,
