line_nickname,alias
Casper,Casper
H2B:Halo x pDQM005(301),H2B:Halo x pDQM005(301)
MGCO 27 tol2-N,MGCO 27 tol2-N
MGCO 28 male (332) tol2-N,MGCO 28 male (332) tol2-N
MGCO 28 male (358) tol2-N,MGCO 28 male (358) tol2-N
MGCO 28 tol2-N,MGCO 28 tol2-N
MGCO 35 male 1 (336) tol2-N,MGCO 35 male 1 (336) tol2-N
MGCO 35 tol2-N,MGCO 35 tol2-N
MNM002 male 1 F1 (342),MNM002 male 1 F1 (342)
Mem:tdm:Halo,Mem:tdm:Halo
Mem:tdm:Halo bright,Mem:tdm:Halo bright
Piglet 14a,Piglet 14a
Piglet 24b,Piglet 24b
Piglet 24b pJWL001 female 1,Piglet 24b pJWL001 female 1
Piglet14a,Piglet14a
Piglet24b JWL001 male 2 phiC-N,Piglet24b JWL001 male 2 phiC-N
Piglet24b pDQM079 founder,Piglet24b pDQM079 founder
Skittles 2.0 male #5 (309),Skittles 2.0 male #5 (309)
Skittles 3.0 male,Skittles 3.0 male
Skittles 4 FP exorh male 3 (321),Skittles 4 FP exorh male 3 (321)
Skittles 4 FP exorh male 6 (320),Skittles 4 FP exorh male 6 (320)
"Skittles 4 FP exorh male 7 (Jim,316)","Skittles 4 FP exorh male 7 (Jim,316)"
Skittles 4 FP male 1 (319),Skittles 4 FP male 1 (319)
Skittles 4 FP male 14 (318),Skittles 4 FP male 14 (318)
Skittles 4.0 female 1 and male 2,Skittles 4.0 female 1 and male 2
Skittles 4FP,Skittles 4FP
Skittles 5FP,Skittles 5FP
Skittles 5FP female 24 (311),Skittles 5FP female 24 (311)
Skittles 5FP female 3,Skittles 5FP female 3
Skittles 5FP founder 11,Skittles 5FP founder 11
Skittles 5FP male 11,Skittles 5FP male 11
Skittles 5FP male 2 (317),Skittles 5FP male 2 (317)
Skittles 5FP male 5(Abe) female 11 (Ben),Skittles 5FP male 5(Abe) female 11 (Ben)
Skittles 5FP male k (314),Skittles 5FP male k (314)
Skittles 5FP  exorh:GFP male c (313),Skittles 5FP  exorh:GFP male c (313)
Skittles 5FP  female 1,Skittles 5FP  female 1
Skittles 5FP  female 1(312),Skittles 5FP  female 1(312)
casper,casper
pDQM005 male 11 (302),pDQM005 male 11 (302)
pDQM005 male 23,pDQM005 male 23
pDQM005(301),pDQM005(301)
pDQM005(301) inj pDQM133 male 1,pDQM005(301) inj pDQM133 male 1
pDQM065 male 1,pDQM065 male 1
pDQM065 male 1 (338),pDQM065 male 1 (338)
pDQM082,pDQM082
pDQM082 AB/Csp,pDQM082 AB/Csp
pDQM082 AB/hets,pDQM082 AB/hets
pDQM082 AB/hets (dim),pDQM082 AB/hets (dim)
pDQM082 F1,pDQM082 F1
pDQM082 F2 male,pDQM082 F2 male
pDQM082 female 1,pDQM082 female 1
pDQM082 female 2,pDQM082 female 2
pDQM082 female 4 (328),pDQM082 female 4 (328)
pDQM082 female and male AB/hets,pDQM082 female and male AB/hets
pDQM082 male 1,pDQM082 male 1
pDQM082 male 1 female 4,pDQM082 male 1 female 4
pDQM082 male F1,pDQM082 male F1
pDQM094 female 1 (326),pDQM094 female 1 (326)
pDQM094 male 3 (339),pDQM094 male 3 (339)
pDQM094 male 4,pDQM094 male 4
pDQM132 male founder,pDQM132 male founder
pDQM133 female (331),pDQM133 female (331)
pDQM133 female (332),pDQM133 female (332)
pDQM133 female (344),pDQM133 female (344)
pDQM133 female 3 (331),pDQM133 female 3 (331)
pDQM133 female 3 (332),pDQM133 female 3 (332)
pDQM133 founder (350),pDQM133 founder (350)
pDQM133 male 3,pDQM133 male 3
pDQM133 male founder (349),pDQM133 male founder (349)
pDQM136 (327),pDQM136 (327)
pDQM136 F1,pDQM136 F1
pDQM136 ix,pDQM136 ix
pDQM136 male 1 (325),pDQM136 male 1 (325)
pDQM136 male 11 (++),pDQM136 male 11 (++)
pDQM136 male 2 (327),pDQM136 male 2 (327)
pDQM137 (332),pDQM137 (332)
pDQM137 female (332),pDQM137 female (332)
pDQM137 female 2 (333),pDQM137 female 2 (333)
pDQM137 female 24,pDQM137 female 24
pDQM137 female and male,pDQM137 female and male
pDQM137 iSce-1 female founder (333),pDQM137 iSce-1 female founder (333)
pDQM137 iSce-1  (333),pDQM137 iSce-1  (333)
pDQM137 male,pDQM137 male
pDQM137 male 1 founder,pDQM137 male 1 founder
pDQM137 male 2 (329),pDQM137 male 2 (329)
pDQM137 male 4,pDQM137 male 4
pDQM137 male 4 weak founder,pDQM137 male 4 weak founder
pDQM137 male F1,pDQM137 male F1
pDQM137 weak founder,pDQM137 weak founder
pDQM151 male 1,pDQM151 male 1
pDQM151 male 3,pDQM151 male 3
pDQM151 tol2-N,pDQM151 tol2-N
pDQM151 tol2-N male 1 (340),pDQM151 tol2-N male 1 (340)
pDQM151 tol2-N male 3 (341),pDQM151 tol2-N male 3 (341)
pDQM154 female,pDQM154 female
pDQM155 female 1,pDQM155 female 1
pDQM155 male 1 (347),pDQM155 male 1 (347)
pDQM155 male 2 (348),pDQM155 male 2 (348)
pDQM155 tol2-N,pDQM155 tol2-N
pMNM002 tol2-N founder (342),pMNM002 tol2-N founder (342)
