clutch_code,legacy_clutch_key,plate_code,slot_index,roi_count
LCL-0001,20250428-plate1-slot1,20250428-plate1,1,2
LCL-0002,20250429-plate1-slot1,20250429-plate1,1,2
LCL-0003,20250429-plate1-slot2,20250429-plate1,2,1
LCL-0004,20250429-plate1-slot3,20250429-plate1,3,2
LCL-0005,20250429-plate1-slot4,20250429-plate1,4,3
LCL-0006,20250513-plate1-slot1,20250513-plate1,1,3
LCL-0007,20250513-plate1-slot10,20250513-plate1,10,4
LCL-0008,20250513-plate1-slot11,20250513-plate1,11,3
LCL-0009,20250513-plate1-slot12,20250513-plate1,12,7
LCL-0010,20250513-plate1-slot13,20250513-plate1,13,4
LCL-0011,20250513-plate1-slot14,20250513-plate1,14,2
LCL-0012,20250513-plate1-slot15,20250513-plate1,15,1
LCL-0013,20250513-plate1-slot16,20250513-plate1,16,1
LCL-0014,20250513-plate1-slot2,20250513-plate1,2,1
LCL-0015,20250513-plate1-slot3,20250513-plate1,3,2
LCL-0016,20250513-plate1-slot4,20250513-plate1,4,3
LCL-0017,20250513-plate1-slot5,20250513-plate1,5,4
LCL-0018,20250513-plate1-slot6,20250513-plate1,6,2
LCL-0019,20250513-plate1-slot7,20250513-plate1,7,4
LCL-0020,20250513-plate1-slot8,20250513-plate1,8,1
LCL-0021,20250513-plate1-slot9,20250513-plate1,9,2
LCL-0842,20250520-plate1-slot1,20250520-plate1,1,1
LCL-0843,20250520-plate1-slot2,20250520-plate1,2,2
LCL-0844,20250520-plate1-slot3,20250520-plate1,3,1
LCL-0022,20250521-plate1-slot1,20250521-plate1,1,2
LCL-0023,20250521-plate1-slot2,20250521-plate1,2,1
LCL-0024,20250521-plate1-slot3,20250521-plate1,3,2
LCL-0025,20250522-plate1-slot1,20250522-plate1,1,2
LCL-0026,20250522-plate1-slot2,20250522-plate1,2,2
LCL-0027,20250522-plate1-slot3,20250522-plate1,3,3
LCL-0028,20250522-plate1-slot4,20250522-plate1,4,2
LCL-0029,20250522-plate1-slot5,20250522-plate1,5,1
LCL-0030,20250522-plate1-slot6,20250522-plate1,6,2
LCL-0031,20250522-plate1-slot7,20250522-plate1,7,3
LCL-0032,20250522-plate1-slot8,20250522-plate1,8,3
LCL-0033,20250522-plate1-slot9,20250522-plate1,9,1
LCL-0845,20250523-plate1-slot1,20250523-plate1,1,1
LCL-0846,20250523-plate1-slot2,20250523-plate1,2,1
LCL-0847,20250523-plate1-slot3,20250523-plate1,3,1
LCL-0848,20250523-plate1-slot4,20250523-plate1,4,1
LCL-0849,20250523-plate1-slot5,20250523-plate1,5,1
LCL-0034,20250528-plate1-slot1,20250528-plate1,1,1
LCL-0035,20250528-plate1-slot2,20250528-plate1,2,1
LCL-0036,20250528-plate1-slot3,20250528-plate1,3,1
LCL-0037,20250528-plate2-slot1,20250528-plate2,1,2
LCL-0038,20250529-plate1-slot1,20250529-plate1,1,1
LCL-0039,20250529-plate1-slot10,20250529-plate1,10,1
LCL-0040,20250529-plate1-slot11,20250529-plate1,11,1
LCL-0041,20250529-plate1-slot12,20250529-plate1,12,1
LCL-0042,20250529-plate1-slot13,20250529-plate1,13,1
LCL-0043,20250529-plate1-slot14,20250529-plate1,14,1
LCL-0044,20250529-plate1-slot15,20250529-plate1,15,1
LCL-0045,20250529-plate1-slot16,20250529-plate1,16,1
LCL-0046,20250529-plate1-slot17,20250529-plate1,17,1
LCL-0047,20250529-plate1-slot18,20250529-plate1,18,1
LCL-0048,20250529-plate1-slot19,20250529-plate1,19,1
LCL-0049,20250529-plate1-slot2,20250529-plate1,2,1
LCL-0050,20250529-plate1-slot20,20250529-plate1,20,1
LCL-0051,20250529-plate1-slot21,20250529-plate1,21,1
LCL-0052,20250529-plate1-slot22,20250529-plate1,22,1
LCL-0053,20250529-plate1-slot3,20250529-plate1,3,1
LCL-0054,20250529-plate1-slot4,20250529-plate1,4,1
LCL-0055,20250529-plate1-slot5,20250529-plate1,5,1
LCL-0056,20250529-plate1-slot6,20250529-plate1,6,1
LCL-0057,20250529-plate1-slot7,20250529-plate1,7,1
LCL-0058,20250529-plate1-slot8,20250529-plate1,8,1
LCL-0059,20250529-plate1-slot9,20250529-plate1,9,1
LCL-0060,20250530-plate1-slot1,20250530-plate1,1,1
LCL-0061,20250530-plate1-slot2,20250530-plate1,2,1
LCL-0062,20250530-plate1-slot3,20250530-plate1,3,1
LCL-0063,20250602-plate1-slot1,20250602-plate1,1,1
LCL-0064,20250603-plate1-slot1,20250603-plate1,1,1
LCL-0065,20250603-plate1-slot10,20250603-plate1,10,1
LCL-0066,20250603-plate1-slot11,20250603-plate1,11,1
LCL-0067,20250603-plate1-slot12,20250603-plate1,12,1
LCL-0068,20250603-plate1-slot13,20250603-plate1,13,1
LCL-0069,20250603-plate1-slot14,20250603-plate1,14,1
LCL-0070,20250603-plate1-slot15,20250603-plate1,15,1
LCL-0071,20250603-plate1-slot16,20250603-plate1,16,1
LCL-0072,20250603-plate1-slot17,20250603-plate1,17,1
LCL-0073,20250603-plate1-slot18,20250603-plate1,18,1
LCL-0074,20250603-plate1-slot2,20250603-plate1,2,1
LCL-0075,20250603-plate1-slot3,20250603-plate1,3,1
LCL-0076,20250603-plate1-slot4,20250603-plate1,4,1
LCL-0077,20250603-plate1-slot5,20250603-plate1,5,1
LCL-0078,20250603-plate1-slot6,20250603-plate1,6,1
LCL-0079,20250603-plate1-slot7,20250603-plate1,7,1
LCL-0080,20250603-plate1-slot8,20250603-plate1,8,1
LCL-0081,20250603-plate1-slot9,20250603-plate1,9,1
LCL-0082,20250605-plate1-slot1,20250605-plate1,1,1
LCL-0083,20250605-plate1-slot10,20250605-plate1,10,1
LCL-0084,20250605-plate1-slot11,20250605-plate1,11,1
LCL-0085,20250605-plate1-slot12,20250605-plate1,12,1
LCL-0086,20250605-plate1-slot13,20250605-plate1,13,1
LCL-0087,20250605-plate1-slot14,20250605-plate1,14,1
LCL-0088,20250605-plate1-slot15,20250605-plate1,15,1
LCL-0089,20250605-plate1-slot16,20250605-plate1,16,1
LCL-0090,20250605-plate1-slot17,20250605-plate1,17,1
LCL-0091,20250605-plate1-slot18,20250605-plate1,18,1
LCL-0092,20250605-plate1-slot19,20250605-plate1,19,1
LCL-0093,20250605-plate1-slot2,20250605-plate1,2,1
LCL-0094,20250605-plate1-slot20,20250605-plate1,20,1
LCL-0095,20250605-plate1-slot21,20250605-plate1,21,1
LCL-0096,20250605-plate1-slot3,20250605-plate1,3,1
LCL-0097,20250605-plate1-slot4,20250605-plate1,4,1
LCL-0098,20250605-plate1-slot5,20250605-plate1,5,1
LCL-0099,20250605-plate1-slot6,20250605-plate1,6,1
LCL-0100,20250605-plate1-slot7,20250605-plate1,7,1
LCL-0101,20250605-plate1-slot8,20250605-plate1,8,1
LCL-0102,20250605-plate1-slot9,20250605-plate1,9,1
LCL-0103,20250606-plate1-slot1,20250606-plate1,1,1
LCL-0104,20250606-plate1-slot10,20250606-plate1,10,1
LCL-0105,20250606-plate1-slot11,20250606-plate1,11,1
LCL-0106,20250606-plate1-slot12,20250606-plate1,12,1
LCL-0107,20250606-plate1-slot13,20250606-plate1,13,1
LCL-0108,20250606-plate1-slot14,20250606-plate1,14,1
LCL-0109,20250606-plate1-slot15,20250606-plate1,15,1
LCL-0110,20250606-plate1-slot16,20250606-plate1,16,1
LCL-0111,20250606-plate1-slot17,20250606-plate1,17,1
LCL-0112,20250606-plate1-slot18,20250606-plate1,18,1
LCL-0113,20250606-plate1-slot19,20250606-plate1,19,1
LCL-0114,20250606-plate1-slot2,20250606-plate1,2,1
LCL-0115,20250606-plate1-slot20,20250606-plate1,20,1
LCL-0116,20250606-plate1-slot21,20250606-plate1,21,1
LCL-0117,20250606-plate1-slot22,20250606-plate1,22,1
LCL-0118,20250606-plate1-slot23,20250606-plate1,23,1
LCL-0119,20250606-plate1-slot3,20250606-plate1,3,1
LCL-0120,20250606-plate1-slot4,20250606-plate1,4,1
LCL-0121,20250606-plate1-slot5,20250606-plate1,5,1
LCL-0122,20250606-plate1-slot6,20250606-plate1,6,1
LCL-0123,20250606-plate1-slot7,20250606-plate1,7,1
LCL-0124,20250606-plate1-slot8,20250606-plate1,8,1
LCL-0125,20250606-plate1-slot9,20250606-plate1,9,1
LCL-0126,20250609-plate1-slot1,20250609-plate1,1,1
LCL-0127,20250609-plate1-slot2,20250609-plate1,2,1
LCL-0128,20250609-plate1-slot3,20250609-plate1,3,1
LCL-0129,20250609-plate1-slot4,20250609-plate1,4,1
LCL-0130,20250609-plate1-slot5,20250609-plate1,5,1
LCL-0131,20250609-plate1-slot6,20250609-plate1,6,1
LCL-0132,20250609-plate1-slot7,20250609-plate1,7,1
LCL-0133,20250609-plate1-slot8,20250609-plate1,8,1
LCL-0134,20250609-plate1-slot9,20250609-plate1,9,1
LCL-0135,20250612-plate1-slot1,20250612-plate1,1,1
LCL-0136,20250612-plate1-slot10,20250612-plate1,10,1
LCL-0137,20250612-plate1-slot2,20250612-plate1,2,1
LCL-0138,20250612-plate1-slot3,20250612-plate1,3,1
LCL-0139,20250612-plate1-slot4,20250612-plate1,4,1
LCL-0140,20250612-plate1-slot5,20250612-plate1,5,1
LCL-0141,20250612-plate1-slot6,20250612-plate1,6,1
LCL-0142,20250612-plate1-slot7,20250612-plate1,7,1
LCL-0143,20250612-plate1-slot8,20250612-plate1,8,1
LCL-0144,20250612-plate1-slot9,20250612-plate1,9,1
LCL-0145,20250613-plate1-slot1,20250613-plate1,1,1
LCL-0146,20250613-plate1-slot10,20250613-plate1,10,1
LCL-0147,20250613-plate1-slot11,20250613-plate1,11,1
LCL-0148,20250613-plate1-slot12,20250613-plate1,12,1
LCL-0149,20250613-plate1-slot2,20250613-plate1,2,1
LCL-0150,20250613-plate1-slot3,20250613-plate1,3,1
LCL-0151,20250613-plate1-slot4,20250613-plate1,4,1
LCL-0152,20250613-plate1-slot5,20250613-plate1,5,1
LCL-0153,20250613-plate1-slot6,20250613-plate1,6,1
LCL-0154,20250613-plate1-slot7,20250613-plate1,7,1
LCL-0155,20250613-plate1-slot8,20250613-plate1,8,1
LCL-0156,20250613-plate1-slot9,20250613-plate1,9,1
LCL-0157,20250616-plate1-slot1,20250616-plate1,1,1
LCL-0158,20250616-plate1-slot2,20250616-plate1,2,1
LCL-0159,20250616-plate1-slot3,20250616-plate1,3,1
LCL-0160,20250616-plate1-slot4,20250616-plate1,4,1
LCL-0161,20250616-plate1-slot5,20250616-plate1,5,1
LCL-0162,20250616-plate1-slot6,20250616-plate1,6,1
LCL-0163,20250618-plate1-slot1,20250618-plate1,1,1
LCL-0164,20250618-plate1-slot10,20250618-plate1,10,1
LCL-0165,20250618-plate1-slot11,20250618-plate1,11,1
LCL-0166,20250618-plate1-slot12,20250618-plate1,12,1
LCL-0167,20250618-plate1-slot13,20250618-plate1,13,1
LCL-0168,20250618-plate1-slot14,20250618-plate1,14,1
LCL-0169,20250618-plate1-slot15,20250618-plate1,15,1
LCL-0170,20250618-plate1-slot16,20250618-plate1,16,1
LCL-0171,20250618-plate1-slot17,20250618-plate1,17,1
LCL-0172,20250618-plate1-slot18,20250618-plate1,18,1
LCL-0173,20250618-plate1-slot19,20250618-plate1,19,1
LCL-0174,20250618-plate1-slot2,20250618-plate1,2,1
LCL-0175,20250618-plate1-slot20,20250618-plate1,20,1
LCL-0176,20250618-plate1-slot21,20250618-plate1,21,1
LCL-0177,20250618-plate1-slot22,20250618-plate1,22,1
LCL-0178,20250618-plate1-slot23,20250618-plate1,23,1
LCL-0179,20250618-plate1-slot3,20250618-plate1,3,1
LCL-0180,20250618-plate1-slot4,20250618-plate1,4,1
LCL-0181,20250618-plate1-slot5,20250618-plate1,5,1
LCL-0182,20250618-plate1-slot6,20250618-plate1,6,1
LCL-0183,20250618-plate1-slot7,20250618-plate1,7,1
LCL-0184,20250618-plate1-slot8,20250618-plate1,8,1
LCL-0185,20250618-plate1-slot9,20250618-plate1,9,1
LCL-0186,20250619-plate1-slot1,20250619-plate1,1,1
LCL-0187,20250619-plate1-slot2,20250619-plate1,2,1
LCL-0188,20250619-plate1-slot3,20250619-plate1,3,1
LCL-0189,20250619-plate1-slot4,20250619-plate1,4,1
LCL-0190,20250619-plate1-slot5,20250619-plate1,5,1
LCL-0191,20250619-plate1-slot6,20250619-plate1,6,1
LCL-0192,20250619-plate1-slot7,20250619-plate1,7,1
LCL-0193,20250619-plate1-slot8,20250619-plate1,8,1
LCL-0194,20250624-plate1-slot1,20250624-plate1,1,1
LCL-0195,20250624-plate1-slot10,20250624-plate1,10,1
LCL-0196,20250624-plate1-slot11,20250624-plate1,11,1
LCL-0197,20250624-plate1-slot12,20250624-plate1,12,1
LCL-0198,20250624-plate1-slot13,20250624-plate1,13,1
LCL-0199,20250624-plate1-slot14,20250624-plate1,14,1
LCL-0200,20250624-plate1-slot15,20250624-plate1,15,1
LCL-0201,20250624-plate1-slot16,20250624-plate1,16,1
LCL-0202,20250624-plate1-slot17,20250624-plate1,17,1
LCL-0203,20250624-plate1-slot2,20250624-plate1,2,1
LCL-0204,20250624-plate1-slot3,20250624-plate1,3,1
LCL-0205,20250624-plate1-slot4,20250624-plate1,4,1
LCL-0206,20250624-plate1-slot5,20250624-plate1,5,1
LCL-0207,20250624-plate1-slot6,20250624-plate1,6,1
LCL-0208,20250624-plate1-slot7,20250624-plate1,7,1
LCL-0209,20250624-plate1-slot8,20250624-plate1,8,1
LCL-0210,20250624-plate1-slot9,20250624-plate1,9,1
LCL-0211,20250624-plate2-slot1,20250624-plate2,1,1
LCL-0212,20250624-plate2-slot2,20250624-plate2,2,1
LCL-0213,20250624-plate2-slot3,20250624-plate2,3,1
LCL-0214,20250624-plate2-slot4,20250624-plate2,4,1
LCL-0215,20250624-plate2-slot5,20250624-plate2,5,1
LCL-0216,20250625-plate1-slot1,20250625-plate1,1,1
LCL-0217,20250625-plate1-slot10,20250625-plate1,10,1
LCL-0218,20250625-plate1-slot2,20250625-plate1,2,1
LCL-0219,20250625-plate1-slot3,20250625-plate1,3,1
LCL-0220,20250625-plate1-slot4,20250625-plate1,4,1
LCL-0221,20250625-plate1-slot5,20250625-plate1,5,1
LCL-0222,20250625-plate1-slot6,20250625-plate1,6,1
LCL-0223,20250625-plate1-slot7,20250625-plate1,7,1
LCL-0224,20250625-plate1-slot8,20250625-plate1,8,1
LCL-0225,20250625-plate1-slot9,20250625-plate1,9,1
LCL-0226,20250627-plate1-slot1,20250627-plate1,1,1
LCL-0227,20250627-plate1-slot10,20250627-plate1,10,1
LCL-0228,20250627-plate1-slot11,20250627-plate1,11,1
LCL-0229,20250627-plate1-slot12,20250627-plate1,12,1
LCL-0230,20250627-plate1-slot2,20250627-plate1,2,1
LCL-0231,20250627-plate1-slot3,20250627-plate1,3,1
LCL-0232,20250627-plate1-slot4,20250627-plate1,4,1
LCL-0233,20250627-plate1-slot5,20250627-plate1,5,1
LCL-0234,20250627-plate1-slot6,20250627-plate1,6,1
LCL-0235,20250627-plate1-slot7,20250627-plate1,7,1
LCL-0236,20250627-plate1-slot8,20250627-plate1,8,1
LCL-0237,20250627-plate1-slot9,20250627-plate1,9,1
LCL-0238,20250715-plate1-slot1,20250715-plate1,1,2
LCL-0239,20250715-plate1-slot2,20250715-plate1,2,1
LCL-0240,20250715-plate1-slot3,20250715-plate1,3,2
LCL-0241,20250715-plate1-slot4,20250715-plate1,4,3
LCL-0242,20250715-plate1-slot5,20250715-plate1,5,4
LCL-0243,20250715-plate1-slot6,20250715-plate1,6,5
LCL-0244,20250715-plate1-slot7,20250715-plate1,7,1
LCL-0245,20250715-plate1-slot8,20250715-plate1,8,3
LCL-0246,20250722-plate1-slot1,20250722-plate1,1,1
LCL-0247,20250722-plate1-slot2,20250722-plate1,2,1
LCL-0248,20250722-plate1-slot3,20250722-plate1,3,1
LCL-0249,20250722-plate1-slot4,20250722-plate1,4,1
LCL-0250,20250722-plate1-slot5,20250722-plate1,5,1
LCL-0251,20250722-plate1-slot6,20250722-plate1,6,1
LCL-0252,20250722-plate1-slot7,20250722-plate1,7,1
LCL-0253,20250722-plate1-slot8,20250722-plate1,8,1
LCL-0254,20250722-plate1-slot9,20250722-plate1,9,1
LCL-0255,20250722-plate2-slot1,20250722-plate2,1,1
LCL-0256,20250722-plate2-slot10,20250722-plate2,10,1
LCL-0257,20250722-plate2-slot11,20250722-plate2,11,1
LCL-0258,20250722-plate2-slot12,20250722-plate2,12,1
LCL-0259,20250722-plate2-slot2,20250722-plate2,2,1
LCL-0260,20250722-plate2-slot3,20250722-plate2,3,1
LCL-0261,20250722-plate2-slot4,20250722-plate2,4,1
LCL-0262,20250722-plate2-slot5,20250722-plate2,5,1
LCL-0263,20250722-plate2-slot6,20250722-plate2,6,1
LCL-0264,20250722-plate2-slot7,20250722-plate2,7,1
LCL-0265,20250722-plate2-slot8,20250722-plate2,8,1
LCL-0266,20250722-plate2-slot9,20250722-plate2,9,1
LCL-0267,20250723-plate1-slot1,20250723-plate1,1,6
LCL-0268,20250724-plate1-slot1,20250724-plate1,1,4
LCL-0269,20250728-plate1-slot1,20250728-plate1,1,1
LCL-0270,20250728-plate1-slot2,20250728-plate1,2,1
LCL-0271,20250801-plate1-slot1,20250801-plate1,1,1
LCL-0272,20250801-plate1-slot2,20250801-plate1,2,1
LCL-0273,20250801-plate1-slot3,20250801-plate1,3,1
LCL-0274,20250801-plate2-slot1,20250801-plate2,1,1
LCL-0275,20250805-plate1-slot1,20250805-plate1,1,1
LCL-0276,20250805-plate1-slot2,20250805-plate1,2,1
LCL-0277,20250805-plate1-slot3,20250805-plate1,3,1
LCL-0278,20250805-plate1-slot4,20250805-plate1,4,1
