clutch_code,legacy_clutch_key,date_born,parent_female_genotype_text,parent_male_genotype_text,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,roi_count,datasets
LCL-0001,20250428-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM117,,1,20250428_mem_histone
LCL-0002,20250428-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM117,,2,20250428_mem_histone
LCL-0003,20250513-plate1|slot1,,,,,,4,20250513_skittles
LCL-0004,20250513-plate1|slot10,,,,,,5,20250513_skittles
LCL-0005,20250513-plate1|slot11,,,,,,4,20250513_skittles
LCL-0006,20250513-plate1|slot12,,,,,,8,20250513_skittles
LCL-0007,20250513-plate1|slot13,,,,,,5,20250513_skittles
LCL-0008,20250513-plate1|slot14,,,,,,3,20250513_skittles
LCL-0009,20250513-plate1|slot15,,,,,,2,20250513_skittles
LCL-0010,20250513-plate1|slot16,,,,,,2,20250513_skittles
LCL-0011,20250513-plate1|slot2,,,,,,2,20250513_skittles
LCL-0012,20250513-plate1|slot3,,,,,,3,20250513_skittles
LCL-0013,20250513-plate1|slot4,,,,,,4,20250513_skittles
LCL-0014,20250513-plate1|slot5,,,,,,5,20250513_skittles
LCL-0015,20250513-plate1|slot6,,,,,,3,20250513_skittles
LCL-0016,20250513-plate1|slot7,,,,,,5,20250513_skittles
LCL-0017,20250513-plate1|slot8,,,,,,2,20250513_skittles
LCL-0018,20250513-plate1|slot9,,,,,,4,20250513_skittles
LCL-0019,20250521-plate1|slot1,,Dennis (F2 of allele 318),Abe (F2 of allele 309),pDQM112,,1,20250521_skittles_no-membrane
LCL-0020,20250521-plate1|slot2,,Dennis (F2 of allele 318),Abe (F2 of allele 309),pDQM112,,3,20250521_skittles_no-membrane
LCL-0021,20250521-plate1|slot3,,Dennis (F2 of allele 318),Abe (F2 of allele 309),pDQM112,,2,20250521_skittles_no-membrane
LCL-0022,20250521-plate1|slot4,,Dennis (F2 of allele 318),Abe (F2 of allele 309),pDQM112,,3,20250521_skittles_no-membrane
LCL-0023,20250522-plate1|slot1,,,,,,3,20250522_skittlez
LCL-0024,20250522-plate1|slot2,,,,,,3,20250522_skittlez
LCL-0025,20250522-plate1|slot3,,,,,,4,20250522_skittlez
LCL-0026,20250522-plate1|slot4,,,,,,3,20250522_skittlez
LCL-0027,20250522-plate1|slot5,,,,,,2,20250522_skittlez
LCL-0028,20250522-plate1|slot6,,,,,,3,20250522_skittlez
