roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,genotype_base_codes,genotype_allele_codes,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_localizations,treatment_marker_fluor_loc_labels,all_unique_organelles,all_fluor_organelles,link_source,day_plate_num
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,20250721-plate1-slot1-roi1,20250721,65.0,1.0,1.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish1,1.0,,,74,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,MGCO-04|MGCO-01,,,,,,mStayGold,sec61b|2Xcox8A,ER|mitochondria,mStayGold(ER)|mStayGold(mitochondria),"ER,mitochondria","mStayGold(ER),mStayGold(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,20250721-plate1-slot2-roi1,20250721,65.0,2.0,1.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish2,2.0,,,74,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,MGCO-04|MGCO-01,,,,,,mStayGold,sec61b|2Xcox8A,ER|mitochondria,mStayGold(ER)|mStayGold(mitochondria),"ER,mitochondria","mStayGold(ER),mStayGold(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,20250721-plate1-slot3-roi1,20250721,65.0,3.0,1.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish3,3.0,,,80,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,MGCO-04|MGCO-01,,,,,,mStayGold,sec61b|2Xcox8A,ER|mitochondria,mStayGold(ER)|mStayGold(mitochondria),"ER,mitochondria","mStayGold(ER),mStayGold(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1,20250721-plate1-slot1-roi2,20250721,65.0,1.0,2.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish1,1.0,,,50,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,MGCO-04|MGCO-01,,,,,,mStayGold,sec61b|2Xcox8A,ER|mitochondria,mStayGold(ER)|mStayGold(mitochondria),"ER,mitochondria","mStayGold(ER),mStayGold(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2,20250721-plate1-slot2-roi2,20250721,65.0,2.0,2.0,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish2,2.0,,,80,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,,,,MGCO-04|MGCO-01,,,,,,mStayGold,sec61b|2Xcox8A,ER|mitochondria,mStayGold(ER)|mStayGold(mitochondria),"ER,mitochondria","mStayGold(ER),mStayGold(mitochondria)",unmatched,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1,20250722-plate1-slot1-roi1,20250722,66.0,1.0,1.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,33,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2,20250722-plate1-slot1-roi2,20250722,66.0,1.0,2.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,109,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi3,20250722-plate1-slot1-roi3,20250722,66.0,1.0,3.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,37,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4,20250722-plate1-slot1-roi4,20250722,66.0,1.0,4.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,140,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5,20250722-plate1-slot1-roi5,20250722,66.0,1.0,5.0,20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,fish1,1.0,24.0,,37,20250722_mem-halo_er-mSG,2025-07-22,2025-07-22,,,MGCO-04,,,,,,mStayGold,sec61b,ER,mStayGold(ER),ER,mStayGold(ER),sheet,1
