date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,roi_path_date_yyyymmdd,experiment_folder,fish_folder,roi_folder,fish_number,fish_id,fish_age_token,fish_age_hpf,roi_index_token,roi_index,fish_nickname,roi_anatomy_tokens,roi_anatomy,dataset_slug,imaging_date_from_sheet,date_mount,Date imaged,Data location,ZF female genotype,ZF male genotype,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id,parent_female_name,parent_male_name,parent_female_norm,parent_male_norm,female_parent_name_norm,female_plasmid_base_code,female_allele,female_injected_rna,female_injected_plasmid,male_parent_name_norm,male_plasmid_base_code,male_allele,male_injected_rna,male_injected_plasmid,genotype_base_codes,genotype_allele_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,all_unique_organelles,all_fluor_organelles,data_location_norm,treatment_plasmid_names_sheet,treatment_rna_names_sheet,treatment_protein_names_sheet,treatment_dye_names_sheet,treatment_rna_names_norm,treatment_plasmid_names_norm,treatment_marker_fluor_codes_x,treatment_marker_tag_codes_x,treatment_marker_localizations_x,treatment_marker_fusion_labels_x,treatment_fluor_organelles_x,treatment_marker_fluor_codes_y,treatment_marker_tag_codes_y,treatment_marker_localizations_y,treatment_marker_fusion_labels_y,treatment_fluor_organelles_y
20250428_mem_histone,fish1_72hpf,roi1_tail,roi1_tail,3206,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,korra,20250428,20250428_mem_histone,fish1_72hpf,roi1_tail,1.0,fish1,72hpf,72.0,roi1,1.0,,['tail'],tail,20250428_mem_histone,20250428,2025-04-28,2025-04-28,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250428,1,inferred,20250428::20250428_mem_histone::1,1,1,1,20250428-plate1-slot1-roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),X:/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf,,mScarlet3-S2:H2B,,,mScarlet3-S2:H2B,,mScarlet3S2,H2B,histone,mScarlet3S2::H2B,mScarlet3S2(histone),mScarlet3S2,H2B,histone,mScarlet3S2::H2B,mScarlet3S2(histone)
20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,9760,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,korra,20250428,20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,1.0,fish1,72hpf,72.0,roi2,2.0,,"['hindbrain', 'spine']",hindbrain|spine,20250428_mem_histone,20250428,2025-04-28,2025-04-28,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250428,1,inferred,20250428::20250428_mem_histone::1,1,1,2,20250428-plate1-slot1-roi2,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane)|mScarlet3S2(histone),X:/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf,,mScarlet3-S2:H2B,,,mScarlet3-S2:H2B,,mScarlet3S2,H2B,histone,mScarlet3S2::H2B,mScarlet3S2(histone),mScarlet3S2,H2B,histone,mScarlet3S2::H2B,mScarlet3S2(histone)
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,20250429,20250429_mem_cytosol,fish1_24hpf,roi1,1.0,fish1,24hpf,24.0,roi1,1.0,,[],,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,1,1,20250429-plate2-slot1-roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
20250429_mem_cytosol,fish1_24hpf,roi1_test,roi1_test,46,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,korra,20250429,20250429_mem_cytosol,fish1_24hpf,roi1_test,1.0,fish1,24hpf,24.0,roi1,1.0,,['test'],test,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,1,2,20250429-plate2-slot1-roi2,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,20250429,20250429_mem_cytosol,fish2_48hpf,roi1,2.0,fish2,48hpf,48.0,roi1,1.0,,[],,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,2,1,20250429-plate2-slot2-roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,20250429,20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,3.0,fish3,24hpf,24.0,roi1,1.0,mem-halo,[],,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,3,1,20250429-plate2-slot3-roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,roi2,5120,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,korra,20250429,20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,3.0,fish3,24hpf,24.0,roi2,2.0,mem-halo,[],,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,3,2,20250429-plate2-slot3-roi2,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,20250429,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,4.0,fish4,48hpf,48.0,roi1,1.0,mem-halo,[],,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,1,20250429-plate2-slot4-roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,roi2,4608,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,korra,20250429,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,4.0,fish4,48hpf,48.0,roi2,2.0,mem-halo,[],,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,2,20250429-plate2-slot4-roi2,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,roi3,6056,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,korra,20250429,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,4.0,fish4,48hpf,48.0,roi3,3.0,mem-halo,[],,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,3,20250429-plate2-slot4-roi3,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,ef1a:2xlynk:tdmsg(j) (f2 of allele 301),pDQM005,301,,,pDQM005,301,,,tdmSG,2xLynk,membrane,tdmSG::2xLynk,membrane,tdmSG(membrane),X:/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf,ef1a:mGold2s,,,,,ef1a:mGold2s,mGold2s,,,,,mGold2s,,cytosol,,mGold2s(cytosol)
