roi_dir,dataset_slug,experiment_folder,fish_id,roi_anatomy,genotype_base_codes,genotype_allele_codes,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,all_unique_organelles,all_fluor_organelles,link_source
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi1,20250521_skittles_no-membrane,20250521_skittles_no-membrane,fish2,,,,,,,,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi2,20250521_skittles_no-membrane,20250521_skittles_no-membrane,fish2,,,,,,,,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3/roi1,20250521_skittles_no-membrane,20250521_skittles_no-membrane,fish3,,,,,,,,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi1,20250521_skittles_no-membrane,20250521_skittles_no-membrane,fish4,,,,,,,,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi2,20250521_skittles_no-membrane,20250521_skittles_no-membrane,fish4,,,,,,,,sheet
/clusterfs/vast/abcabc/Korra_Foundation/20250602_mem/fish2_roi1,20250602_mem,20250602_mem,fish2,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish2,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish3,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,fish2,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi1,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi2,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi3,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi4,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi5,20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Korra_Foundation/20251017_microtubules/fish2_24hpf_roi1_test,20251017_microtubules,20251017_microtubules,fish2,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251017_nuclear_envelope/fish1_24hpf_roi1_test,20251017_nuclear_envelope,20251017_nuclear_envelope,fish1,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251017_nuclear_envelope/fish1_24hpf_roi1_test_SIM,20251017_nuclear_envelope,20251017_nuclear_envelope,fish1,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi/fish1_24hpf_roi1,20251028_mem-peroxi,20251028_mem-peroxi,fish1,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi/fish4_24hpf_roi1,20251028_mem-peroxi,20251028_mem-peroxi,fish4,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi/fish4_24hpf_roi2,20251028_mem-peroxi,20251028_mem-peroxi,fish4,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi/fish5_24hpf_roi1,20251028_mem-peroxi,20251028_mem-peroxi,fish5,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi/fish5_24hpf_roi2,20251028_mem-peroxi,20251028_mem-peroxi,fish5,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish1_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,fish1,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish2_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,fish2,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish4_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,fish4,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish5_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,fish5,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251028_mem-peroxi2/fish6_24hpf_roi1,20251028_mem-peroxi2,20251028_mem-peroxi2,fish6,,,,,,,,sheet
/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-kinectocore/fish1_72hpf_roi1,20251107_mem-kinectocore,20251107_mem-kinectocore,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_10ms,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251028_peroxi/roi1_560_76ms,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish1_roi1,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish3_roi1,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish4_roi1,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi1,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi2,Denoising,Denoising,fish2,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_mem-histone/fish5_roi3,Denoising,Denoising,fish3,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish1_roi1,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Aang_Foundation/Denoising/20251029_peroxi/fish3_roi1,Denoising,Denoising,fish1,,,,,,,,unmatched
/clusterfs/vast/abcabc/Korra_Foundation/analysis_test/fish1_roi1,analysis_test,analysis_test,fish1,,,,,,,,unmatched
