plate_date,plate_id_filled,n_fish
20250513,1,16
20250522,1,9
20250529,1,22
20250603,1,18
20250605,1,21
20250606,1,23
20250609,1,9
20250612,1,10
20250613,1,12
20250618,1,23
20250619,1,8
20250624,1,17
20250625,1,10
20250627,1,12
20250715,1,8
20250722,1,9
20250722,2,12
20250805,2,7
20250819,1,8
20250819,2,25
20250821,1,15
20250826,1,8
20250828,1,14
20250908,1,22
20250911,1,8
20250912,1,26
20250915,1,18
20250916,1,21
20250918,1,26
20250919,1,23
20250922,1,17
20250924,1,18
20250925,1,7
20250926,1,16
20251001,1,11
20251002,1,24
20251003,1,7
20251006,1,11
20251007,1,7
20251007,2,7
20251009,3,12
20251013,1,10
20251014,1,11
20251015,1,11
20251020,1,13
20251021,1,10
20251021,2,7
20251022,1,10
20251024,1,8
20251027,1,13
20251029,1,10
20251105,1,9
20251106,1,20
20251107,2,13
20251112,1,9
