date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,dataset_slug_raw,dataset_slug_norm,roi_path_date_yyyymmdd,experiment_folder,fish_folder,roi_folder,fish_number,fish_id,fish_age_token,fish_age_hpf,roi_index_token,roi_index,fish_nickname,roi_anatomy_tokens,roi_anatomy,dataset_slug,sheet_slug_norm,date_mount_yyyymmdd,Data location,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id
20250428_mem_histone,fish1_72hpf,roi1_tail,roi1_tail,3206.0,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,korra,korra,korra,20250428,20250428_mem_histone,fish1_72hpf,roi1_tail,1.0,fish1,72hpf,72.0,roi1,1.0,,['tail'],tail,20250428_mem_histone,,,,,,,,,,inferred,20250428,1,inferred,20250428::20250428_mem_histone::1,1,1,1,20250428-plate1-slot1-roi1
20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,9760.0,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,korra,korra,korra,20250428,20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,1.0,fish1,72hpf,72.0,roi2,2.0,,"['hindbrain', 'spine']",hindbrain|spine,20250428_mem_histone,,,,,,,,,,inferred,20250428,1,inferred,20250428::20250428_mem_histone::1,1,1,2,20250428-plate1-slot1-roi2
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,korra,korra,20250429,20250429_mem_cytosol,fish1_24hpf,roi1,1.0,fish1,24hpf,24.0,roi1,1.0,,[],,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,1,1,20250429-plate2-slot1-roi1
20250429_mem_cytosol,fish1_24hpf,roi1_test,roi1_test,46.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,korra,korra,korra,20250429,20250429_mem_cytosol,fish1_24hpf,roi1_test,1.0,fish1,24hpf,24.0,roi1,1.0,,['test'],test,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,1,2,20250429-plate2-slot1-roi2
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,korra,korra,20250429,20250429_mem_cytosol,fish2_48hpf,roi1,2.0,fish2,48hpf,48.0,roi1,1.0,,[],,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,2,1,20250429-plate2-slot2-roi1
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,korra,korra,20250429,20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,3.0,fish3,24hpf,24.0,roi1,1.0,mem-halo,[],,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,3,1,20250429-plate2-slot3-roi1
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,roi2,5120.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,korra,korra,korra,20250429,20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,3.0,fish3,24hpf,24.0,roi2,2.0,mem-halo,[],,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,3,2,20250429-plate2-slot3-roi2
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,korra,korra,20250429,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,4.0,fish4,48hpf,48.0,roi1,1.0,mem-halo,[],,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,1,20250429-plate2-slot4-roi1
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,roi2,4608.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,korra,korra,korra,20250429,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,4.0,fish4,48hpf,48.0,roi2,2.0,mem-halo,[],,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,2,20250429-plate2-slot4-roi2
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,roi3,6056.0,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,korra,korra,korra,20250429,20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,4.0,fish4,48hpf,48.0,roi3,3.0,mem-halo,[],,20250429_mem_cytosol,,,,,,,,,,inferred,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,3,20250429-plate2-slot4-roi3
20250513_skittles,fish13,roi2,roi2,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi2,korra,korra,korra,20250513,20250513_skittles,fish13,roi2,13.0,fish13,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,1,1,20250513-plate3-slot1-roi1
20250513_skittles,fish13,roi3,roi3,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi3,korra,korra,korra,20250513,20250513_skittles,fish13,roi3,13.0,fish13,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,1,2,20250513-plate3-slot1-roi2
20250513_skittles,fish13,roi4,roi4,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish13/roi4,korra,korra,korra,20250513,20250513_skittles,fish13,roi4,13.0,fish13,,,roi4,4.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,1,3,20250513-plate3-slot1-roi3
20250513_skittles,fish14,roi1_brain,roi1_brain,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi1_brain,korra,korra,korra,20250513,20250513_skittles,fish14,roi1_brain,14.0,fish14,,,roi1,1.0,,['brain'],brain,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,2,1,20250513-plate3-slot2-roi1
20250513_skittles,fish14,roi2_tailbud,roi2_tailbud,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish14/roi2_tailbud,korra,korra,korra,20250513,20250513_skittles,fish14,roi2_tailbud,14.0,fish14,,,roi2,2.0,,['tailbud'],tailbud,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,2,2,20250513-plate3-slot2-roi2
20250513_skittles,fish15,roi1,roi1,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi1,korra,korra,korra,20250513,20250513_skittles,fish15,roi1,15.0,fish15,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,3,1,20250513-plate3-slot3-roi1
20250513_skittles,fish15,roi2,roi2,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi2,korra,korra,korra,20250513,20250513_skittles,fish15,roi2,15.0,fish15,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,3,2,20250513-plate3-slot3-roi2
20250513_skittles,fish15,roi3,roi3,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi3,korra,korra,korra,20250513,20250513_skittles,fish15,roi3,15.0,fish15,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,3,3,20250513-plate3-slot3-roi3
20250513_skittles,fish15,roi4,roi4,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish15/roi4,korra,korra,korra,20250513,20250513_skittles,fish15,roi4,15.0,fish15,,,roi4,4.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,3,4,20250513-plate3-slot3-roi4
20250513_skittles,fish16,roi1_brain,roi1_brain,18.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish16/roi1_brain,korra,korra,korra,20250513,20250513_skittles,fish16,roi1_brain,16.0,fish16,,,roi1,1.0,,['brain'],brain,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,4,1,20250513-plate3-slot4-roi1
20250513_skittles,fish2,roi1,roi1,17.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi1,korra,korra,korra,20250513,20250513_skittles,fish2,roi1,2.0,fish2,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,5,1,20250513-plate3-slot5-roi1
20250513_skittles,fish2,roi2,roi2,10.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish2/roi2,korra,korra,korra,20250513,20250513_skittles,fish2,roi2,2.0,fish2,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,5,2,20250513-plate3-slot5-roi2
20250513_skittles,fish3,roi1,roi1,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi1,korra,korra,korra,20250513,20250513_skittles,fish3,roi1,3.0,fish3,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,1,20250513-plate3-slot6-roi1
20250513_skittles,fish3,roi2,roi2,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi2,korra,korra,korra,20250513,20250513_skittles,fish3,roi2,3.0,fish3,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,2,20250513-plate3-slot6-roi2
20250513_skittles,fish3,roi3,roi3,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi3,korra,korra,korra,20250513,20250513_skittles,fish3,roi3,3.0,fish3,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,3,20250513-plate3-slot6-roi3
20250513_skittles,fish3,roi4,roi4,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish3/roi4,korra,korra,korra,20250513,20250513_skittles,fish3,roi4,3.0,fish3,,,roi4,4.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,1,inferred,20250513::20250513_skittles::1,3,6,4,20250513-plate3-slot6-roi4
20250513_skittles,fish4,roi1,roi1,38.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi1,korra,korra,korra,20250513,20250513_skittles,fish4,roi1,4.0,fish4,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,1,1,20250513-plate4-slot1-roi1
20250513_skittles,fish4,roi2,roi2,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi2,korra,korra,korra,20250513,20250513_skittles,fish4,roi2,4.0,fish4,,,roi2,2.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,1,2,20250513-plate4-slot1-roi2
20250513_skittles,fish4,roi3,roi3,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish4/roi3,korra,korra,korra,20250513,20250513_skittles,fish4,roi3,4.0,fish4,,,roi3,3.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,1,3,20250513-plate4-slot1-roi3
20250513_skittles,fish5,roi1,roi1,186.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi1,korra,korra,korra,20250513,20250513_skittles,fish5,roi1,5.0,fish5,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,2,1,20250513-plate4-slot2-roi1
