date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_folder,roi_path_date_yyyymmdd,fish_folder,roi_folder,fish_id,fish_number,fish_age_hpf,fish_nickname,fish_raw_norm,roi_anatomy_tokens,roi_anatomy,fish_folder_patched,dataset_slug,dataset_slug_norm,sheet_slug_norm,date_mount_yyyymmdd,date_mount,Date imaged,mount_id,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,Imaged Locations,Unique Targets with blanks,Unique Targets,Data location,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id
20250428_mem_histone,fish1_72hpf,roi1_tail,roi1_tail,3206,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi1_tail,korra,20250428_mem_histone,20250428,fish1_72hpf,roi1_tail,fish1,1.0,72.0,,fish1,['tail'],tail,fish1_72hpf,20250428_mem_histone,20250428_mem_histone,20250428_mem_histone,20250428,2025-04-28,2025-04-28,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,,2025-04-26,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",nuclei,nuclei,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,sheet,20250428,1,inferred,20250428::20250428_mem_histone::1,1,1,1,20250428-plate1-slot1-roi1
20250428_mem_histone,fish1_72hpf,roi2_hindbrain_spine,roi2_hindbrain_spine,9760,/clusterfs/vast/abcabc/Korra_Foundation/20250428_mem_histone/fish1_72hpf/roi2_hindbrain_spine,korra,20250428_mem_histone,20250428,fish1_72hpf,roi2_hindbrain_spine,fish1,1.0,72.0,,fish1,"['brain', 'hindbrain', 'spine']",brain|hindbrain|spine,fish1_72hpf,20250428_mem_histone,20250428_mem_histone,20250428_mem_histone,20250428,2025-04-28,2025-04-28,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,,2025-04-26,"spinal_cord, skin, muscle, tail, notochord, hindbrain, blood vessel",nuclei,nuclei,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,sheet,20250428,1,inferred,20250428::20250428_mem_histone::1,1,1,2,20250428-plate1-slot1-roi2
20250429_mem_cytosol,fish1_24hpf,roi1,roi1,6873,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1,korra,20250429_mem_cytosol,20250429,fish1_24hpf,roi1,fish1,1.0,24.0,,fish1,[],,fish1_24hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,1,1,20250429-plate2-slot1-roi1
20250429_mem_cytosol,fish1_24hpf,roi1_test,roi1_test,46,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish1_24hpf/roi1_test,korra,20250429_mem_cytosol,20250429,fish1_24hpf,roi1_test,fish1,1.0,24.0,,fish1,[],,fish1_24hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,1,2,20250429-plate2-slot1-roi2
20250429_mem_cytosol,fish2_48hpf,roi1,roi1,3180,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish2_48hpf/roi1,korra,20250429_mem_cytosol,20250429,fish2_48hpf,roi1,fish2,2.0,48.0,,fish2,[],,fish2_48hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,2,1,20250429-plate2-slot2-roi1
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi1,roi1,18,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi1,korra,20250429_mem_cytosol,20250429,fish3_mem-halo_24hpf,roi1,fish3,3.0,24.0,mem-halo,fish3,[],,fish3_mem-halo_24hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,3,1,20250429-plate2-slot3-roi1
20250429_mem_cytosol,fish3_mem-halo_24hpf,roi2,roi2,5120,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish3_mem-halo_24hpf/roi2,korra,20250429_mem_cytosol,20250429,fish3_mem-halo_24hpf,roi2,fish3,3.0,24.0,mem-halo,fish3,[],,fish3_mem-halo_24hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,3,2,20250429-plate2-slot3-roi2
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi1,roi1,3328,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi1,korra,20250429_mem_cytosol,20250429,fish4_mem-halo_48hpf,roi1,fish4,4.0,48.0,mem-halo,fish4,[],,fish4_mem-halo_48hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,1,20250429-plate2-slot4-roi1
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi2,roi2,4608,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi2,korra,20250429_mem_cytosol,20250429,fish4_mem-halo_48hpf,roi2,fish4,4.0,48.0,mem-halo,fish4,[],,fish4_mem-halo_48hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,2,20250429-plate2-slot4-roi2
20250429_mem_cytosol,fish4_mem-halo_48hpf,roi3,roi3,6056,/clusterfs/vast/abcabc/Korra_Foundation/20250429_mem_cytosol/fish4_mem-halo_48hpf/roi3,korra,20250429_mem_cytosol,20250429,fish4_mem-halo_48hpf,roi3,fish4,4.0,48.0,mem-halo,fish4,[],,fish4_mem-halo_48hpf,20250429_mem_cytosol,20250429_mem_cytosol,20250429_mem_cytosol,20250429,2025-04-29,2025-04-29,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:mGold2s,,,,2025-04-28,brain,cytosol,cytosol,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,sheet,20250429,1,inferred,20250429::20250429_mem_cytosol::1,2,4,3,20250429-plate2-slot4-roi3
