basecode,n_rois_genotype,n_rois_plasmid,n_rois_rna,used_as_genotype,used_as_rna_tx,used_as_plasmid_tx
HC-9,0,0,15,False,True,False
MGCO-01,0,0,429,False,True,False
MGCO-04,0,0,33,False,True,False
MGCO-15,0,0,21,False,True,False
MGCO-23,0,0,27,False,True,False
MGCO-24,0,0,5,False,True,False
MGCO-35,0,21,0,False,False,True
MGCO-36,0,0,21,False,True,False
MGCO-39,0,21,6,False,True,True
MGCO-40,0,0,21,False,True,False
MGCO-49,0,0,6,False,True,False
MGCO-50,0,0,1,False,True,False
MGCO-52,0,0,5,False,True,False
MGCO-54,0,0,2,False,True,False
MGCO-57,0,0,1,False,True,False
pDQM005,171,0,0,True,False,False
pDQM034,252,0,0,True,False,False
pDQM037,0,0,6,False,True,False
pDQM082,374,0,0,True,False,False
pDQM117,0,0,32,False,True,False
pDQM133,170,0,0,True,False,False
pDQM136,11,0,0,True,False,False
pDQM140,0,8,0,False,False,True
