plasmid_code,fluor_code,tag_code
pDQM005,tdmSG,2xLynk
pDQM034,mKate2,
pDQM034,mCitrine,
pDQM034,Electra2,
pDQM034,mKOK,
pDQM034,mTFP1,
pDQM037,tdmSG,dhb
pDQM037,tdmChilada,pcna
pDQM082,tdmChilada,2xLynk
pDQM117,mScarlet3S2,H2B
pDQM133,tdmScarlet3,H2B
pDQM136,tdmScarlet3,2xLynk
pDQM140,mGold2s,
MGCO-01,mStayGold,2Xcox8A
MGCO-04,mStayGold,sec61b
MGCO-15,mStayGold,LAMP1
MGCO-23,mStayGold,lifeact
MGCO-24,Halo,lifeact
MGCO-35,mScarlet3S2,2Xcox8A
MGCO-36,mScarlet3S2,sec61b
MGCO-39,Halo,2Xcox8A
MGCO-40,Halo,sec61b
HC-9,mStayGold,lifeact
MGCO-49,mStayGold,skl
MGCO-50,mStayGold,EB3
MGCO-52,mStayGold,ABCDpmp70
MGCO-54,mStayGold,LEMD2
MGCO-57,mStayGold,CENPA
