dataset_slug,all_unique_organelles_override,all_fluor_organelles_override
20250513_skittles,cytosol,cytosol
20250522_skittlez,cytosol,cytosol
20250528_skittlez,cytosol,cytosol
20250529_skittlez,cytosol,cytosol
20250603_skittlez,cytosol,cytosol
20250605_skittlez,cytosol,cytosol
20250606_skittlez,cytosol,cytosol
20250612_skittlez,cytosol,cytosol
20250613_skittlez,cytosol,cytosol
20250618_skittlez,cytosol,cytosol
20250619_skittlez,cytosol,cytosol
20250624_skittlez_Chris_x_Liam,cytosol,cytosol
20250625_skittlez,cytosol,cytosol
20250627_skittlez,cytosol,cytosol
,,
20250722_mrna_mito-mSG_mem-mChilada,membrane|mitochondria,membrane|mitochondria
20250722_mem-halo_er-mSG,membrane|ER,membrane|ER
,,
,,
,,
,,
20250826_mem_actin,membrane|actin,membrane|actin
20250828_mem_actin,membrane|actin,membrane|actin
,,
Denoising,unknown,unknown
