parent_slug_norm,geno_base_codes_v9_holes,geno_alleles_v9_holes,inj_rna_names_v9_holes,inj_plasmid_names_v9_holes
er-msg_mem-mchilada,pDQM082,315,"MGCO-04,MGCO-01",
mem-histone,"pDQM005,pDQM133","302,324",,
mem-kinetocore,pDQM082,315,MGCO-57,
mem-mchilada_er-msg,pDQM082,315,"MGCO-01,MGCO-04",
mem-mito,pDQM082,315,MGCO-01,
mem_tester,pDQM082,315,MGCO-01,
mitomsg,pDQM005,301,MGCO-01,
mrna_msg_organelle_lls-sim/er_roi1,csp,,"MGCO-04,MGCO-01",
peroxi,pDQM136,325,MGCO-49,
skittles,pDQM034,309,,
skittlez,pDQM034,309,,
tandemmem:mstaygold;tdmchilada(magpv):histone,"pDQM005,pDQM104","301,324",pDQM104,
tandemmem:mstaygold;tdmchilada:histone,"pDQM005,pDQM104","301,324",pDQM104,
