parent_slug_norm,geno_base_codes_v9_map,geno_alleles_v9_map,inj_rna_names_v9_map,inj_plasmid_names_v9_map
abe(f2ofallele309),pDQM034,309,,
ben(f2ofallele310),pDQM034,310,,
casper/rnf,,,,
chris(f1ofallele317),pDQM034,317,,
csp/piglet14a,,,,
dennis(f2ofallele318),pDQM036,318,,
ef1a-extended:2xlynk:tdmscarlet3-s2-tol2(f1ofallele325),pDQM136,325,,
ef1a:2xlynk:tdm:halo,pSWIN05,is05,,
ef1a:2xlynk:tdm:mchilada,pDQM082,315,,
ef1a:2xlynk:tdm:mhalo,pSWIN03,is03,,
ef1a:2xlynk:tdmchilada(f1ofallele315),pDQM082,315,,
ef1a:2xlynk:tdmsg(j)(f1ofallele301),pDQM005,301,,
ef1a:2xlynk:tdmsg(j)(f1ofallele302),pDQM005,302,,
ef1a:2xlynk:tdmsg(j)(f1ofallele304),pDQM005,304,,
ef1a:2xlynk:tdmsg(j)(f1ofallele305),pDQM005,305,,
ef1a:2xlynk:tdmsg(j)(f1ofallele308),pDQM005,308,,
ef1a:2xlynk:tdmsg(j)(f2ofallele301),pDQM005,301,,
ef1a:2xlynk:tdmsg(j)(f2ofallele302),pDQM005,302,,
ef1a:<cryaa:msc>mkate2/mcitrine/electra2/mkok/mtfp1(f1ofallele309),pDQM034,309,,
ef1a:<cryaa:msc>mkate2/mcitrine/electra2/mkok/mtfp1(f1ofallele310),pDQM034,310,,
ef1a:<cryaa:msc>mkate2/mcitrine/electra2/mkok/mtfp1(f1ofallele317),pDQM034,317,,
ef1a:<exorh:gfp>mkate2/mcitrine/electra2/mkok/mtfp1(f1ofallele313),pDQM036,318,,
ef1a:h2b:halo,pSWIN02,is02,,
er-msg_mem-mchilada,pDQM082,315,"MGCO-04,MGCO-01",
fromswinburnelab-tankid344(f1ofallele45385),pSWIN04,is04,,
heatshockphic,pDQM112,,,
isaac(f2ofallele314),pDQM064,314,,
jim(f2ofallele316),pDQM059,316,,
ken(f2ofallele320),pDQM059,320,,
liam(f2ofallele321),pDQM059,321,,
mem-histone,"pDQM005,pDQM133","302,324",,
mem-kinetocore,pDQM082,315,MGCO-57,
mem-mchilada_er-msg,pDQM082,315,"MGCO-01,MGCO-04",
mem-mito,pDQM082,315,MGCO-01,
mem:tdmchilada,pDQM082,315,,
mem_tester,pDQM082,315,MGCO-01,
membranehalo,pSWIN01,is01,,
membranemchilada,pDQM082,315,,
membranetdmscarlet3s2(f1ofallele325),pDQM136,325,,
membranetdmscarlet3s2(f1ofallele327),pDQM136,327,,
mgco35(f1ofallele336),MGCO-35,336,,
mitomsg,pDQM005,301,MGCO-01,
mrna_msg_organelle_lls-sim/er_roi1,csp,,"MGCO-04,MGCO-01",
peroxi,pDQM136,325,MGCO-49,
skittles,pDQM034,309,,
skittlez,pDQM034,309,,
tandemmem:mstaygold,pDQM005,301,,
tandemmem:mstaygold;tdmchilada(magpv):histone,"pDQM005,pDQM104","301,324",pDQM104,
tandemmem:mstaygold;tdmchilada:histone,"pDQM005,pDQM104","301,324",pDQM104,
tdmscarlet3s2(f1ofallele325),pDQM136,325,,
tdmscarlet3s2(f2ofallele325),pDQM136,325,,
tdmscarlet3s2:h2b-tol2(f1ofallele324),pDQM133,324,,
