experiment_folder,n_rows,any_v2_geno,injected_mgco_codes
20250715_mem_organelle,21,False,mgco-35|mgco-36|mgco-39|mgco-40
20250808_mem_organelle,21,False,mgco-1|mgco-15
20250828_mem_actin,14,False,mgco-23
20250722_mrna_mito-mSG_mem-mChilada,12,False,mgco-1
20250722_mem-halo_er-mSG,9,False,mgco-4
20250429_mem_cytosol,8,False,
20250819_mem_ER,8,False,mgco-4
20250826_mem_actin,8,False,mgco-23
20250805_mito_mem-halo,7,False,mgco-1
20251021_mem-mito_v2,7,False,mgco-1
20250723_mem-halo_ER-mSG,6,False,mgco-4
20250903_lifeact-mSG,6,False,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,5,False,mgco-1|mgco-4
20250805_lifeact_mem-halo,5,False,mgco-24|mgco-39
20250827_mem_actin,5,False,mgco-23
20250904_lifeact-mSG,5,False,
20250905_lifeact-mSG,4,False,
20250801_mem-PCNA,3,False,
20251017_nuclear_envelope,2,False,mgco-54
20251017_microtubules,1,False,mgco-50
Denoising,0,False,
analysis_test,0,False,
