foundation	experiment_key	roi_root	cams	channels	wavelengths_nm	file_exts	n_paths
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon					9
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon_1					1
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/GPUsirecon_2					5
Aang_Foundation	20250717_LLS-SIM_test	Aang_Foundation/20250717_LLS-SIM_test/job_logs					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1					6
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2					4
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3					6
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_step_sweep					1
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1					14
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2					11
Aang_Foundation	20250721_72hpf_mrna_mSG_organelle_LLS-SIM	Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_step_sweep					3
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi1					6
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi2					4
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi3					8
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi4					4
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish1_24hpf_roi5					6
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi1					6
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi2					3
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi3					3
Aang_Foundation	20250722_mem-halo_er-mSG	Aang_Foundation/20250722_mem-halo_er-mSG/fish2_24hpf_roi4					3
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi1					13
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi2					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_roi3					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish1_test					7
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi1					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi2					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi3					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi4					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish2_48hpf_roi5					10
Aang_Foundation	20250722_mrna_mito-mSG_mem-mChilada	Aang_Foundation/20250722_mrna_mito-mSG_mem-mChilada/fish3_48hpf_roi1					9
