priority	match_field	pattern	Slug	genotype_base_codes	genotype_allele_codes	treatment_rna_base_codes	treatment_plasmid_base_codes	notes	experiment_name	n_slots	n_tiffs_sum	example_roi_path
1	intent_key	20250523_mem_histone	mem_histone						20250523_mem_histone	5	47827	/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish2
2	intent_key	20250609_mem-histone--roi1	mem_histone						20250609_mem-histone	6	43475	/clusterfs/vast/abcabc/Korra_Foundation/20250609_mem-histone/fish11_72hpf_roi1
3	intent_key	20250616_mem-histone--roi1_brain	mem_histone						20250616_mem-histone	4	27792	/clusterfs/vast/abcabc/Korra_Foundation/20250616_mem-histone/fish1_24hpf_roi1_brain
5	intent_key	20251210_mem-histone--roi1	mem_histone						20251210_mem-histone	3	25342	/clusterfs/vast/abcabc/Korra_Foundation/20251210_mem-histone/fish3_48hpf_roi1
7	intent_key	20251222_mem-histone--roi1	mem_histone						20251222_mem-histone	2	24392	/clusterfs/vast/abcabc/Aang_Foundation/20251222_mem-histone/fish1_72hpf_roi1
8	intent_key	20251020_mem-histone--roi1	mem_histone						20251020_mem-histone	2	22136	/clusterfs/vast/abcabc/Korra_Foundation/20251020_mem-histone/fish1_72hpf_roi1
10	intent_key	20251128_mem-histone--roi1	mem_histone						20251128_mem-histone	2	20384	/clusterfs/vast/abcabc/Korra_Foundation/20251128_mem-histone/fish1_120hpf_roi1
11	intent_key	20251218_mem-histone--roi1	mem_histone						20251218_mem-histone	2	19434	/clusterfs/vast/abcabc/Korra_Foundation/20251218_mem-histone/fish1_72hpf_roi1
12	intent_key	20251216_mem-histone--roi1	mem_histone						20251216_mem-histone	5	19302	/clusterfs/vast/abcabc/Korra_Foundation/20251216_mem-histone/fish5_24hpf_roi1
15	intent_key	20251211_mem-histone--roi1	mem_histone						20251211_mem-histone	2	17917	/clusterfs/vast/abcabc/Korra_Foundation/20251211_mem-histone/fish1_72hpf_roi1
16	intent_key	20250626_mem-histone--hindbrain-to-tail	mem_histone						20250626_mem-histone	1	17360	/clusterfs/vast/abcabc/Korra_Foundation/20250626_mem-histone/fish3_48hpf_hindbrain-to-tail
17	intent_key	20251015_mem-histone--roi1	mem_histone						20251015_mem-histone	4	15580	/clusterfs/vast/abcabc/Korra_Foundation/20251015_mem-histone/fish3_48hpf_roi1
18	intent_key	20251013_mem-histone--roi1	mem_histone						20251013_mem-histone	2	15570	/clusterfs/vast/abcabc/Korra_Foundation/20251013_mem-histone/fish3_96hpf_roi1
21	intent_key	20251006_mem_histone--roi1	mem_histone						20251006_mem_histone	4	14234	/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi1
24	intent_key	20251013_mem-histone--roi0_test	mem_histone						20251013_mem-histone	1	12772	/clusterfs/vast/abcabc/Korra_Foundation/20251013_mem-histone/fish1_96hpf_roi0_test
25	intent_key	20251027_mem-histone--roi1	mem_histone						20251027_mem-histone	1	12456	/clusterfs/vast/abcabc/Korra_Foundation/20251027_mem-histone/fish3_72hpf_roi1
26	intent_key	20251125_mem-histone--roi1	mem_histone						20251125_mem-histone	1	12160	/clusterfs/vast/abcabc/Korra_Foundation/20251125_mem-histone/fish1_96hpf_roi1
27	intent_key	20251209_mem-histone--roi1	mem_histone						20251209_mem-histone	3	11990	/clusterfs/vast/abcabc/Korra_Foundation/20251209_mem-histone/fish1_24hpf_roi1
28	intent_key	20250520_mem_histone	mem_histone						20250520_mem_histone	3	11473	/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5
32	intent_key	20250528_mem-histone	mem_histone						20250528_mem-histone	2	10754	/clusterfs/vast/abcabc/Korra_Foundation/20250528_mem-histone/fish3
35	intent_key	20251205_mem-histone--roi1	mem_histone						20251205_mem-histone	2	8112	/clusterfs/vast/abcabc/Korra_Foundation/20251205_mem-histone/fish1_96hpf_roi1
38	intent_key	20251007_mem_histone--roi1	mem_histone						20251007_mem_histone	2	6551	/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi1
39	intent_key	20251007_mem-histone--roi1	mem_histone						20251007_mem-histone	2	6191	/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi1
41	intent_key	20250626_mem-histone--brain	mem_histone						20250626_mem-histone	1	4447	/clusterfs/vast/abcabc/Korra_Foundation/20250626_mem-histone/fish1_48hpf_brain
44	intent_key	20251218_mem-histone--roi1_eye	mem_histone						20251218_mem-histone	1	3990	/clusterfs/vast/abcabc/Korra_Foundation/20251218_mem-histone/fish2_72hpf_roi1_eye
45	intent_key	20251212_mem-histone--roi1	mem_histone						20251212_mem-histone	1	3514	/clusterfs/vast/abcabc/Korra_Foundation/20251212_mem-histone/fish1_72hpf_roi1
50	intent_key	20250718_histone_msc3_transgenic_test	mem_histone						20250718_histone_mSC3_transgenic_test	3	800	/clusterfs/vast/abcabc/Korra_Foundation/20250718_histone_mSC3_transgenic_test/fish3
