plate_code,plate_name,plate_date,operator,notes
korra_20250605_skittlez_skittlez,korra:skittlez,20250605_skittlez,,
korra_20251112_mem_mito_mem_mito,korra:mem-mito,20251112_mem-mito,,
aang_20251001_mem_histone_mem_histone,aang:mem-histone,20251001_mem-histone,,
korra_20250715_mem_organelle_mem_organelle,korra:mem_organelle,20250715_mem_organelle,,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,aang:mem-halo_er-mSG,20250722_mem-halo_er-mSG,,
aang_20250808_mem_organelle_mem_organelle,aang:mem_organelle,20250808_mem_organelle,,
korra_20250529_skittlez_skittlez,korra:skittlez,20250529_skittlez,,
aang_20250911_mem_mito_mem_mito,aang:mem-mito,20250911_mem-mito,,
aang_20250925_mem_mito_mem_mito,aang:mem-mito,20250925_mem-mito,,
aang_20250918_mem_mito_mem_mito,aang:mem-mito,20250918_mem-mito,,
korra_20250523_mem_histone_mem_histone,korra:mem_histone,20250523_mem_histone,,
aang_20251009_mem_mito_mem_mito,aang:mem-mito,20251009_mem-mito,,
aang_20251007_mem_histone_mem_histone,aang:mem_histone,20251007_mem_histone,,
aang_20251003_mem_tester_mem_tester,aang:mem_tester,20251003_mem_tester,,
aang_20251021_mem_mito_mem_mito,aang:mem-mito,20251021_mem-mito,,
aang_20250908_mem_mito_mem_mito,aang:mem-mito,20250908_mem-mito,,
korra_20250625_skittlez_skittlez,korra:skittlez,20250625_skittlez,,
korra_20250627_skittlez_skittlez,korra:skittlez,20250627_skittlez,,
aang_20250821_mem_mito_mem_mito,aang:mem_mito,20250821_mem_mito,,
korra_20250613_skittlez_skittlez,korra:skittlez,20250613_skittlez,,
aang_20251020_mem_histone_mem_histone,aang:mem-histone,20251020_mem-histone,,
korra_20250616_mem_histone_mem_histone,korra:mem-histone,20250616_mem-histone,,
aang_20250912_mem_mito_mem_mito,aang:mem-mito,20250912_mem-mito,,
korra_20250513_skittles_skittles,korra:skittles,20250513_skittles,,
korra_20250520_mem_histone_mem_histone,korra:mem_histone,20250520_mem_histone,,
aang_20251006_mem_histone_mem_histone,aang:mem_histone,20251006_mem_histone,,
aang_20250917_mem_mito_mem_mito,aang:mem-mito,20250917_mem-mito,,
aang_20251105_mem_mito_mem_mito,aang:mem-mito,20251105_mem-mito,,
korra_20250618_skittlez_skittlez,korra:skittlez,20250618_skittlez,,
korra_20251022_mem_histone_mem_histone,korra:mem-histone,20251022_mem-histone,,
aang_20251015_mem_histone_mem_histone,aang:mem-histone,20251015_mem-histone,,
aang_20250915_mem_mito_mem_mito,aang:mem-mito,20250915_mem-mito,,
korra_20250606_skittlez_skittlez,korra:skittlez,20250606_skittlez,,
aang_20250827_mem_actin_mem_actin,aang:mem_actin,20250827_mem_actin,,
korra_20250522_skittlez_skittlez,korra:skittlez,20250522_skittlez,,
aang_20251002_mem_mito_mem_mito,aang:mem_mito,20251002_mem_mito,,
aang_20250926_mem_mito_mem_mito,aang:mem-mito,20250926_mem-mito,,
aang_20251013_mem_histone_mem_histone,aang:mem-histone,20251013_mem-histone,,
korra_20251013_mem_histone_mem_histone,korra:mem-histone,20251013_mem-histone,,
aang_20250721_72hpf_mrna_mSG_organelle_LLS_SIM_72hpf_mrna_mSG_organelle_LLS_SIM,aang:72hpf_mrna_mSG_organelle_LLS-SIM,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,,
korra_20251015_mem_histone_mem_histone,korra:mem-histone,20251015_mem-histone,,
aang_20250819_mem_mito_mem_mito,aang:mem_mito,20250819_mem_mito,,
korra_20251110_mem_histone_mem_histone,korra:mem-histone,20251110_mem-histone,,
aang_20250922_mem_mito_mem_mito,aang:mem-mito,20250922_mem-mito,,
aang_20251021_mem_mito_v2_mem_mito_v2,aang:mem-mito_v2,20251021_mem-mito_v2,,
korra_20250609_mem_histone_mem_histone,korra:mem-histone,20250609_mem-histone,,
aang_20251107_mem_mito_mem_mito,aang:mem-mito,20251107_mem-mito,,
korra_20251007_mem_histone_mem_histone,korra:mem-histone,20251007_mem-histone,,
aang_20250826_mem_actin_mem_actin,aang:mem_actin,20250826_mem_actin,,
