plate_code,slot_code,legacy_fish_label,fish_code,imaging_nickname,timepoint,notes
korra_20250605_skittlez_skittlez,fish10_roi2,fish10_roi2,FSH_LEGACY_korra_fish10_roi2,skittlez,,
korra_20251112_mem_mito_mem_mito,fish2_48hpf_roi3,fish2_48hpf_roi3,FSH_LEGACY_korra_fish2_48hpf_roi3,mem-mito,,
aang_20251001_mem_histone_mem_histone,fish1_24hpf_roi2,fish1_24hpf_roi2,FSH_LEGACY_aang_fish1_24hpf_roi2,mem-histone,,
korra_20250715_mem_organelle_mem_organelle,fish2_24hpf_mem_mito_msc3_er_halo,fish2_24hpf_mem_mito_msc3_er_halo,FSH_LEGACY_korra_fish2_24hpf_mem_mito_msc3_er_halo,mem_organelle,,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,fish2_24hpf_roi1,fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,mem-halo_er-mSG,,
aang_20250808_mem_organelle_mem_organelle,fish4_24hpf_mem_mchilada_mito_mSG,fish4_24hpf_mem-mchilada_mito-mSG,FSH_LEGACY_aang_fish4_24hpf_mem_mchilada_mito_mSG,mem_organelle,,
korra_20250529_skittlez_skittlez,fish1_roi3,fish1_roi3,FSH_LEGACY_korra_fish1_roi3,skittlez,,
aang_20250911_mem_mito_mem_mito,fish1_48hpf_roi3,fish1_48hpf_roi3,FSH_LEGACY_aang_fish1_48hpf_roi3,mem-mito,,
aang_20250925_mem_mito_mem_mito,fish1_48hpf_roi2,fish1_48hpf_roi2,FSH_LEGACY_aang_fish1_48hpf_roi2,mem-mito,,
aang_20250918_mem_mito_mem_mito,fish3_72hpf_roi3,fish3_72hpf_roi3,FSH_LEGACY_aang_fish3_72hpf_roi3,mem-mito,,
korra_20250523_mem_histone_mem_histone,fish5,fish5,FSH_LEGACY_korra_fish5,mem_histone,,
aang_20251001_mem_histone_mem_histone,fish5_24hpf_roi3,fish5_24hpf_roi3,FSH_LEGACY_aang_fish5_24hpf_roi3,mem-histone,,
aang_20251009_mem_mito_mem_mito,fish3_48hpf_roi4,fish3_48hpf_roi4,FSH_LEGACY_aang_fish3_48hpf_roi4,mem-mito,,
aang_20251007_mem_histone_mem_histone,fish2_48hpf_roi3,fish2_48hpf_roi3,FSH_LEGACY_aang_fish2_48hpf_roi3,mem_histone,,
aang_20251003_mem_tester_mem_tester,fish1_48hpf_xscan_roi5_spine_muscle_tail,fish1_48hpf_xscan_roi5_spine_muscle_tail,FSH_LEGACY_aang_fish1_48hpf_xscan_roi5_spine_muscle_tail,mem_tester,,
aang_20251007_mem_histone_mem_histone,fish2_48hpf_roi5,fish2_48hpf_roi5,FSH_LEGACY_aang_fish2_48hpf_roi5,mem_histone,,
aang_20250918_mem_mito_mem_mito,fish3_72hpf_roi9,fish3_72hpf_roi9,FSH_LEGACY_aang_fish3_72hpf_roi9,mem-mito,,
aang_20251021_mem_mito_mem_mito,fish6_24hpf_roi1,fish6_24hpf_roi1,FSH_LEGACY_aang_fish6_24hpf_roi1,mem-mito,,
aang_20250908_mem_mito_mem_mito,fish5_24hpf_roi2,fish5_24hpf_roi2,FSH_LEGACY_aang_fish5_24hpf_roi2,mem-mito,,
korra_20250625_skittlez_skittlez,fish9_roi1,fish9_roi1,FSH_LEGACY_korra_fish9_roi1,skittlez,,
korra_20250627_skittlez_skittlez,fish4_roi2,fish4_roi2,FSH_LEGACY_korra_fish4_roi2,skittlez,,
aang_20250821_mem_mito_mem_mito,fish6_24hpf_roi1,fish6_24hpf_roi1,FSH_LEGACY_aang_fish6_24hpf_roi1,mem_mito,,
korra_20250715_mem_organelle_mem_organelle,fish6_48hpf_mem_mito_halo_er_msc2,fish6_48hpf_mem_mito_halo_er_msc2,FSH_LEGACY_korra_fish6_48hpf_mem_mito_halo_er_msc2,mem_organelle,,
korra_20250613_skittlez_skittlez,fish11_roi1,fish11_roi1,FSH_LEGACY_korra_fish11_roi1,skittlez,,
aang_20251020_mem_histone_mem_histone,fish1_72hpf_roi4,fish1_72hpf_roi4,FSH_LEGACY_aang_fish1_72hpf_roi4,mem-histone,,
aang_20250911_mem_mito_mem_mito,fish1_48hpf_roi4,fish1_48hpf_roi4,FSH_LEGACY_aang_fish1_48hpf_roi4,mem-mito,,
korra_20250616_mem_histone_mem_histone,fish2_24hpf_roi1_brain,fish2_24hpf_roi1_brain,FSH_LEGACY_korra_fish2_24hpf_roi1_brain,mem-histone,,
aang_20250912_mem_mito_mem_mito,fish3_72hpf_roi2,fish3_72hpf_roi2,FSH_LEGACY_aang_fish3_72hpf_roi2,mem-mito,,
korra_20250513_skittles_skittles,fish6,fish6,FSH_LEGACY_korra_fish6,skittles,,
korra_20250520_mem_histone_mem_histone,fish4,fish4,FSH_LEGACY_korra_fish4,mem_histone,,
aang_20251006_mem_histone_mem_histone,fish1_24hpf_roi3,fish1_24hpf_roi3,FSH_LEGACY_aang_fish1_24hpf_roi3,mem_histone,,
korra_20250627_skittlez_skittlez,fish1_roi2,fish1_roi2,FSH_LEGACY_korra_fish1_roi2,skittlez,,
aang_20250917_mem_mito_mem_mito,fish4_48hpf_roi2,fish4_48hpf_roi2,FSH_LEGACY_aang_fish4_48hpf_roi2,mem-mito,,
aang_20251105_mem_mito_mem_mito,fish4_24hpf_roi1,fish4_24hpf_roi1,FSH_LEGACY_aang_fish4_24hpf_roi1,mem-mito,,
korra_20250618_skittlez_skittlez,fish5_roi1,fish5_roi1,FSH_LEGACY_korra_fish5_roi1,skittlez,,
korra_20251022_mem_histone_mem_histone,fish3_24hpf_roi2,fish3_24hpf_roi2,FSH_LEGACY_korra_fish3_24hpf_roi2,mem-histone,,
aang_20251021_mem_mito_mem_mito,fish4_24hpf_roi1,fish4_24hpf_roi1,FSH_LEGACY_aang_fish4_24hpf_roi1,mem-mito,,
aang_20251015_mem_histone_mem_histone,fish6_48hpf_roi1,fish6_48hpf_roi1,FSH_LEGACY_aang_fish6_48hpf_roi1,mem-histone,,
aang_20250915_mem_mito_mem_mito,fish3_72hpf_roi7,fish3_72hpf_roi7,FSH_LEGACY_aang_fish3_72hpf_roi7,mem-mito,,
aang_20250912_mem_mito_mem_mito,fish1_72hpf_roi2,fish1_72hpf_roi2,FSH_LEGACY_aang_fish1_72hpf_roi2,mem-mito,,
aang_20251020_mem_histone_mem_histone,fish1_72hpf_roi5,fish1_72hpf_roi5,FSH_LEGACY_aang_fish1_72hpf_roi5,mem-histone,,
korra_20250606_skittlez_skittlez,fish1_roi1,fish1_roi1,FSH_LEGACY_korra_fish1_roi1,skittlez,,
korra_20251112_mem_mito_mem_mito,fish2_48hpf_roi1,fish2_48hpf_roi1,FSH_LEGACY_korra_fish2_48hpf_roi1,mem-mito,,
korra_20250625_skittlez_skittlez,fish8_roi1,fish8_roi1,FSH_LEGACY_korra_fish8_roi1,skittlez,,
aang_20250827_mem_actin_mem_actin,fish5_48hpf_roi1,fish5_48hpf_roi1,FSH_LEGACY_aang_fish5_48hpf_roi1,mem_actin,,
korra_20250522_skittlez_skittlez,fish5,fish5,FSH_LEGACY_korra_fish5,skittlez,,
aang_20251002_mem_mito_mem_mito,fish8_24hpf_roi1,fish8_24hpf_roi1,FSH_LEGACY_aang_fish8_24hpf_roi1,mem_mito,,
korra_20250529_skittlez_skittlez,fish13_roi1,fish13_roi1,FSH_LEGACY_korra_fish13_roi1,skittlez,,
aang_20250926_mem_mito_mem_mito,fish3_48hpf_roi3,fish3_48hpf_roi3,FSH_LEGACY_aang_fish3_48hpf_roi3,mem-mito,,
aang_20250925_mem_mito_mem_mito,fish3_48hpf_roi2,fish3_48hpf_roi2,FSH_LEGACY_aang_fish3_48hpf_roi2,mem-mito,,
korra_20250522_skittlez_skittlez,fish8,fish8,FSH_LEGACY_korra_fish8,skittlez,,
aang_20250926_mem_mito_mem_mito,fish_48hpf_roi2,fish_48hpf_roi2,FSH_LEGACY_aang_fish_48hpf_roi2,mem-mito,,
korra_20250513_skittles_skittles,fish5,fish5,FSH_LEGACY_korra_fish5,skittles,,
aang_20251013_mem_histone_mem_histone,fish1_96hpf_roi1,fish1_96hpf_roi1,FSH_LEGACY_aang_fish1_96hpf_roi1,mem-histone,,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,fish1_24hpf_roi3,fish1_24hpf_roi3,FSH_LEGACY_aang_fish1_24hpf_roi3,mem-halo_er-mSG,,
korra_20251013_mem_histone_mem_histone,fish3_96hpf_roi1,fish3_96hpf_roi1,FSH_LEGACY_korra_fish3_96hpf_roi1,mem-histone,,
aang_20251002_mem_mito_mem_mito,fish10_24hpf_roi1,fish10_24hpf_roi1,FSH_LEGACY_aang_fish10_24hpf_roi1,mem_mito,,
aang_20250912_mem_mito_mem_mito,fish1_72hpf_roi1,fish1_72hpf_roi1,FSH_LEGACY_aang_fish1_72hpf_roi1,mem-mito,,
korra_20250522_skittlez_skittlez,fish9,fish9,FSH_LEGACY_korra_fish9,skittlez,,
korra_20250529_skittlez_skittlez,fish14_roi3,fish14_roi3,FSH_LEGACY_korra_fish14_roi3,skittlez,,
aang_20250721_72hpf_mrna_mSG_organelle_LLS_SIM_72hpf_mrna_mSG_organelle_LLS_SIM,mito_roi2,mito_roi2,FSH_LEGACY_aang_mito_roi2,72hpf_mrna_mSG_organelle_LLS-SIM,,
korra_20251015_mem_histone_mem_histone,fish2_48hpf_roi1,fish2_48hpf_roi1,FSH_LEGACY_korra_fish2_48hpf_roi1,mem-histone,,
aang_20250908_mem_mito_mem_mito,fish2_24hpf_roi1,fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,mem-mito,,
aang_20250819_mem_mito_mem_mito,fish1_24hpf_roi6,fish1_24hpf_roi6,FSH_LEGACY_aang_fish1_24hpf_roi6,mem_mito,,
aang_20250925_mem_mito_mem_mito,fish1_48hpf_roi1,fish1_48hpf_roi1,FSH_LEGACY_aang_fish1_48hpf_roi1,mem-mito,,
aang_20250915_mem_mito_mem_mito,fish5_72hpf_roi1,fish5_72hpf_roi1,FSH_LEGACY_aang_fish5_72hpf_roi1,mem-mito,,
aang_20250808_mem_organelle_mem_organelle,fish3_24hpf_mem_mchilada_mito_mSG,fish3_24hpf_mem-mchilada_mito-mSG,FSH_LEGACY_aang_fish3_24hpf_mem_mchilada_mito_mSG,mem_organelle,,
korra_20250606_skittlez_skittlez,fish7_roi2,fish7_roi2,FSH_LEGACY_korra_fish7_roi2,skittlez,,
korra_20251110_mem_histone_mem_histone,fish2_48hpf_roi1_2,fish2_48hpf_roi1-2,FSH_LEGACY_korra_fish2_48hpf_roi1_2,mem-histone,,
aang_20250922_mem_mito_mem_mito,fish2_72hpf_roi4,fish2_72hpf_roi4,FSH_LEGACY_aang_fish2_72hpf_roi4,mem-mito,,
aang_20251021_mem_mito_v2_mem_mito_v2,fish4_24hpf_roi3,fish4_24hpf_roi3,FSH_LEGACY_aang_fish4_24hpf_roi3,mem-mito_v2,,
korra_20250605_skittlez_skittlez,fish4_roi1,fish4_roi1,FSH_LEGACY_korra_fish4_roi1,skittlez,,
korra_20250609_mem_histone_mem_histone,fish11_72hpf_roi1,fish11_72hpf_roi1,FSH_LEGACY_korra_fish11_72hpf_roi1,mem-histone,,
aang_20250819_mem_mito_mem_mito,fish6_48hpf_roi2,fish6_48hpf_roi2,FSH_LEGACY_aang_fish6_48hpf_roi2,mem_mito,,
aang_20251107_mem_mito_mem_mito,fish1_24hpf_roi3,fish1_24hpf_roi3,FSH_LEGACY_aang_fish1_24hpf_roi3,mem-mito,,
korra_20251007_mem_histone_mem_histone,fish3_48hpf_roi2,fish3_48hpf_roi2,FSH_LEGACY_korra_fish3_48hpf_roi2,mem-histone,,
aang_20250826_mem_actin_mem_actin,fish2_24hpf_roi1,fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,mem_actin,,
aang_20251006_mem_histone_mem_histone,fish4_24hpf_roi3,fish4_24hpf_roi3,FSH_LEGACY_aang_fish4_24hpf_roi3,mem_histone,,
korra_20250522_skittlez_skittlez,fish4,fish4,FSH_LEGACY_korra_fish4,skittlez,,
aang_20251001_mem_histone_mem_histone,fish5_24hpf_roi4,fish5_24hpf_roi4,FSH_LEGACY_aang_fish5_24hpf_roi4,mem-histone,,
korra_20250609_mem_histone_mem_histone,fish5_24hpf_roi1,fish5_24hpf_roi1,FSH_LEGACY_korra_fish5_24hpf_roi1,mem-histone,,
aang_20251028_mem_peroxi_mem_peroxi,fish5_24hpf_roi2,fish5_24hpf_roi2,FSH_LEGACY_aang_fish5_24hpf_roi2,mem-peroxi,,
aang_20250819_mem_mito_mem_mito,fish4_48hpf_roi6,fish4_48hpf_roi6,FSH_LEGACY_aang_fish4_48hpf_roi6,mem_mito,,
korra_20250715_mem_organelle_mem_organelle,fish1_mem_sg_mito_msc3,fish1_mem_sg_mito_msc3,FSH_LEGACY_korra_fish1_mem_sg_mito_msc3,mem_organelle,,
aang_20251107_mem_mito_mem_mito,fish3_24hpf_roi2,fish3_24hpf_roi2,FSH_LEGACY_aang_fish3_24hpf_roi2,mem-mito,,
korra_20251112_mem_mito_mem_mito,fish3_48hpf_roi2,fish3_48hpf_roi2,FSH_LEGACY_korra_fish3_48hpf_roi2,mem-mito,,
aang_20251020_mem_histone_mem_histone,fish2_72hpf_roi1,fish2_72hpf_roi1,FSH_LEGACY_aang_fish2_72hpf_roi1,mem-histone,,
aang_20250912_mem_mito_mem_mito,fish3_72hpf_roi11,fish3_72hpf_roi11,FSH_LEGACY_aang_fish3_72hpf_roi11,mem-mito,,
korra_20251024_mem_histone_mem_histone,fish3_72hpf_roi5,fish3_72hpf_roi5,FSH_LEGACY_korra_fish3_72hpf_roi5,mem-histone,,
aang_20250924_mem_mito_mem_mito,fish2_24hpf_roi2,fish2_24hpf_roi2,FSH_LEGACY_aang_fish2_24hpf_roi2,mem-mito,,
aang_20250805_mito_mem_halo_mito_mem_halo,fish3_24hpf_roi1,fish3_24hpf_roi1,FSH_LEGACY_aang_fish3_24hpf_roi1,mito_mem-halo,,
aang_20251017_nuclear_envelope_nuclear_envelope,fish1_24hpf_roi1_test,fish1_24hpf_roi1_test,FSH_LEGACY_aang_fish1_24hpf_roi1_test,nuclear_envelope,,
aang_20251027_mem_histone_mem_histone,fish1_120hpf_roi2,fish1_120hpf_roi2,FSH_LEGACY_aang_fish1_120hpf_roi2,mem-histone,,
aang_20250908_mem_mito_mem_mito,fish2_72hpf_roi4,fish2_72hpf_roi4,FSH_LEGACY_aang_fish2_72hpf_roi4,mem-mito,,
korra_20250606_skittlez_skittlez,fish6_roi1,fish6_roi1,FSH_LEGACY_korra_fish6_roi1,skittlez,,
aang_20251010_mem_mito_mem_mito,fish6_24hpf_roi1,fish6_24hpf_roi1,FSH_LEGACY_aang_fish6_24hpf_roi1,mem-mito,,
aang_20250805_mito_mem_halo_mito_mem_halo,fish2_24hpf_roi1,fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,mito_mem-halo,,
korra_20251007_mem_histone_mem_histone,fish1_48hpf_roi1,fish1_48hpf_roi1,FSH_LEGACY_korra_fish1_48hpf_roi1,mem-histone,,
aang_20250722_mem_halo_er_mSG_mem_halo_er_mSG,fish2_24hpf_roi2,fish2_24hpf_roi2,FSH_LEGACY_aang_fish2_24hpf_roi2,mem-halo_er-mSG,,
korra_20250523_mem_histone_mem_histone,fish1,fish1,FSH_LEGACY_korra_fish1,mem_histone,,
aang_20251009_mem_mito_mem_mito,fish3_48hpf_roi1,fish3_48hpf_roi1,FSH_LEGACY_aang_fish3_48hpf_roi1,mem-mito,,
korra_20250513_skittles_skittles,fish1,fish1,FSH_LEGACY_korra_fish1,skittles,,
aang_20250819_mem_mito_mem_mito,fish1_24hpf_roi2,fish1_24hpf_roi2,FSH_LEGACY_aang_fish1_24hpf_roi2,mem_mito,,
aang_20251002_mem_mito_mem_mito,fish3_24hpf_roi2,fish3_24hpf_roi2,FSH_LEGACY_aang_fish3_24hpf_roi2,mem_mito,,
korra_20250603_skittlez_skittlez,fish10_roi1,fish10_roi1,FSH_LEGACY_korra_fish10_roi1,skittlez,,
korra_20250606_skittlez_skittlez,fish12_roi2,fish12_roi2,FSH_LEGACY_korra_fish12_roi2,skittlez,,
aang_20251002_mem_mito_mem_mito,fish12_24hpf_roi3,fish12_24hpf_roi3,FSH_LEGACY_aang_fish12_24hpf_roi3,mem_mito,,
aang_20251010_mem_mito_mem_mito,fish2_24hpf_roi1,fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,mem-mito,,
aang_20251107_mem_mito_mem_mito,fish5_24hpf_roi1,fish5_24hpf_roi1,FSH_LEGACY_aang_fish5_24hpf_roi1,mem-mito,,
aang_20250915_mem_mito_mem_mito,fish2_72hpf_roi3,fish2_72hpf_roi3,FSH_LEGACY_aang_fish2_72hpf_roi3,mem-mito,,
aang_20250722_mrna_mito_mSG_mem_mChilada_mrna_mito_mSG_mem_mChilada,fish2_48hpf_roi4,fish2_48hpf_roi4,FSH_LEGACY_aang_fish2_48hpf_roi4,mrna_mito-mSG_mem-mChilada,,
aang_20251106_mem_mito_mem_mito,fish3_48hpf_roi2,fish3_48hpf_roi2,FSH_LEGACY_aang_fish3_48hpf_roi2,mem-mito,,
aang_20250908_mem_mito_mem_mito,fish2_24hpf_roi2,fish2_24hpf_roi2,FSH_LEGACY_aang_fish2_24hpf_roi2,mem-mito,,
aang_20251021_mem_mito_v2_mem_mito_v2,fish4_24hpf_roi2,fish4_24hpf_roi2,FSH_LEGACY_aang_fish4_24hpf_roi2,mem-mito_v2,,
aang_20250924_mem_mito_mem_mito,fish3_24hpf_roi6,fish3_24hpf_roi6,FSH_LEGACY_aang_fish3_24hpf_roi6,mem-mito,,
korra_20250529_skittlez_skittlez,fish4_roi1,fish4_roi1,FSH_LEGACY_korra_fish4_roi1,skittlez,,
